text_es,text_en
HERNIA UMBILICAL .,UMBILICAL HERNIA.
HTA esencial,essential hypertension
Diabetes mellitus tipo 2 descompensada,Decompensated type 2 diabetes mellitus
Asma bronquial persistente moderada,Moderate persistent bronchial asthma
Colecistectomía laparoscópica,Laparoscopic cholecystectomy
Artroplastia total de cadera derecha,Total right hip arthroplasty
Cesárea segmentaria,Segmental cesarean section
Reparación de hernia inguinal izquierda,Left inguinal hernia repair
DOLOR CADERA IZQUIERDA,LEFT HIP PAIN
HERNIORRAFIA UMBILICAL,UMBILICAL HERNIORRHAPHY
ORQUIDOPEXIA Y HERNIORRAFIA,ORCHIDOPEXY AND HERNIORRHAPHY
LESION RODILLA IZQ,LEFT KNEE INJURY
ENDOMETRIOSIS,ENDOMETRIOSIS
COLELITIASIS,CHOLELITHIASIS
POMEROY LIGADURA TUBARICA,POMEROY TUBAL LIGATION
TX DE TOBILLO,ANKLE TX
LESION HOMBROI IZQ,LEFT SHOULDER INJURY
CISTOCELE + HISTEROCELE,CYSTOCELE + HYSTEROCELE
PAPILOMATOSIS LARINGEA,LARYNGEAL PAPILLOMATOSIS
MELANOMA,MELANOMA
CRIPTORQUIDIA IZDA,LEFT CRYPTORCHIDIA
NEVUS PARPADOS/CHALAZION PARPADO INF OI,EYELID NEVUS/EYELID CHALAZION INF OI
FX RADIO DER,FX RADIO DER
TUNEL CARPO BILATERAL,BILATERAL CARPAL TUNNEL
G2C1/CESAREA PREVIA,G2C1/PREVIOUS CESAREA
SX MANGUITO ROTADOR,SX ROTATOR Cuff
RGE,
SX MANGUITO ROTADOR HOMBRO DER,
FRACTURA DE FALANGE ISTAL MANO DERECHA,
LESION DE LCA RODILLA IZQUIERDA,
FRACTURA RADIO Y CUBITO IZQ,
PAPILOMA LARINGEO,
HERNIA INGUINAL DERECHA,
FX DE TOBILLO IZQ ANTIGUA.,
MIOMATOSIS UTERINA,
SINDROME DE BEAN,
HUA,
DEDO EN GATILLO,
GASTRITIS,
LESION LIGAMENTARIA TOBILLO IZQUIERDO,
HERNIA INGUINAL DERECHA Y UMBILICAL,
HERNIA UMBILICAL Y FIMOSIS,
TRASTORNO DE LOS TEJIDOS BLANDOS, NO ESP,
SANGRADO GI,
FISURA ANAL CRONICA,
DESARREGLO INTERNO ATM BILATERAL.,
LESION RODILLA IZQUIERDA,
CA DE COLON,
POLIPÓ ENDOMETRIAL,
TUNEL CARPIANO BILATERAL,
PROLAPSO RECTO VAGINAL,VAGINAL RECTUM PROLAPSE
LUXACION CONGENITA DE CADERA DERECHA,CONGENITAL DISLOCATION OF THE RIGHT HIP
OCLUSIACV IZQUEMICO,IZCHEMIC EVOCCLUSIA
DOLOR EN RODILLA IZQUIERDA,PAIN IN LEFT KNEE
CARCINOMA DE MAMA,BREAST CARCINOMA
CARCINOMA INTRADUCTAL DE MAMA,INTRADUCTAL CARCINOMA OF THE BREAST
DOLOR ABDOMINAL A ESTUDIO,ABDOMINAL PAIN TO STUDY
CLAUSTROFOBIA,CLAUSTROPHOBIA
DEFORMIDAD EN PIE,FOOT DEFORMITY
S. TUNEL DEL TARSO PIE DERECHO,S. TARSI TUNNEL RIGHT FOOT
MIOMAS UTERINOS,UTERINE MYOMAS
FX CONMINUTA HUESOS PROPIOS,FX COMMINUTES OWN BONES
LESION MALAR DERECHA,RIGHT MALAR INJURY
LESION TRAUMATICA COLUMNA,TRAUMATIC SPINE INJURY
POP TUMOR RENAL,POP KIDNEY TUMOR
OTRAS SINOVITIS Y TENOSINOVITIS,OTHER SYNOVITIS AND TENOSYNOVITIS
OTROS CARCINOMAS IN SITU DE LA MAMA,OTHER IN SITU CARCINOMAS OF THE BREAST
TRAUMATISMO DEL NERVIO DIGITAL DEL PULGA,FLEA DIGITAL NERVE TRAUMA
FRACTURA DE LA EPIFISIS INFERIOR DEL HUM,FRACTURE OF THE LOWER EPIPHYSIS OF THE HUM
TRAUMA MAXILAR SUPERIOR,UPPER MAXILLARY TRAUMA
ACROMEGALIA Y GIGANTISMO HIPOFISARIO,ACROMEGALY AND PITUITARY GIGANTISM
GRANULOMA PULGAR MANO DER,RIGHT HAND THUMB GRANULOMA
MAREO,DIZZINESS
FX MUÑECA DER,FX RIGHT WRIST
MALFORMACIONES CONGENITAS DE LA FIJACION,CONGENITAL MALFORMATIONS OF FIXATION
HIPERTROFIA DE LAS AMIGDALAS CON HIPERTR,HYPERTROPHY OF THE TONSILS WITH HYPERTR
CONSEJO Y ASESORAMIENTO GENERAL SOBRE LA,ADVICE AND GENERAL ADVICE ON THE
INSUFICIENCIA RENL TERMINAL,TERMINAL RENL INSUFFICIENCY
HEMORROIDES,HEMORRHOIDS
EFORMIDAD DEDO EN MARTILLO,HAMMER TOE EFORMITY
DOLOR ABDOMINAL .,ABDOMINAL PAIN.
DISPLASIA DE CADERA DERECHA,RIGHT HIP DYSPLASIA
SECUELAS DE NEUMONÍA COMPLICADA,SEQUELUES ​​OF COMPLICATED PNEUMONIA
GLAUCOMA,GLAUCOMA
CANCER DE NASOFARINGE,NASOPHARYNX CANCER
SIND CONVULSIVO,CONVULSIVE SYND
DONANTE,DONOR
FALLA RENAL,KIDNEY FAILURE
LESION MANGUITO ROTADOR IZDO,LEFT ROTATOR Cuff INJURY
ADENOIDECTOMIA Y TUBOS VENTILATORIOS,ADENOIDECTOMY AND VENTILATORY TUBES
LESION LCA RODILLA IZDA,LEFT KNEE ACL INJURY
CATARATA AMBOS OJOS,CATARACT BOTH EYES
LESION CUERDA VOCAL,VOCAL CORD INJURY
CISTITIS INTERSTICIAL,INTERSTITIAL CYSTITIS
MAL ROTACION INTESTINAL ???,BAD INTESTINAL ROTATION???
MASA GLUTEO IZQ,LEFT GUTEOUS MASS
TUMOR PARPADO OJO DERECHO,EYELID TUMOR RIGHT EYE
CHALAZION,CHALAZION
TUMOR EN M I DERECHO,TUMOR IN MY RIGHT
DEFORMIDAD EN EL DEDO,FINGER DEFORMITY
ENFERMEDAD ACIDO-PEPTICA,ACID-PEPTIC DISEASE
MASA PARPADO SUP OD,EYELID MASS SUP OD
QUISTE RETINACULAR,RETINACULAR CYST
G1P0/EMBZO TERMINO,G1P0/EMBZO TERMINATED
ESTENOSIS ESOFAGICA,ESOPHAGEAL STENOSE
TUNEL DEL CARPO,CARPAL TUNNEL
"BOCIO , NÓDULO TIROIDEO .,""GOITRE, THYROID NODULE."""
CEFALEA .,HEADACHE.
DOLOR ARTICULAR,JOINT PAIN
ESGUINCE TOBILLO IZQ .,LEFT ANKLE SPRAIN.
GRANULOMAS PRESTOMALES TQT,TQT PRESTOMAL GRANULOMAS
FISURA ANAL .,ANAL FISSURE.
TRAUMA MI,TRAUMA MY
EPIGASTRALGIA,EPIGASTRALGIA
ESTRECHEZ DE VÍA BILIAR,Narrowness of the bile duct
QUISTE Y DIENTES INCLUIDOS,CYST AND TEETH INCLUDED
RONCOPATIA,SRONOPATHY
SOSPECHA DE ENF CELIACA,SUSPECTED CELIAC DISEASE
HIPERTROFIA DE CORNETES Y DESVIACION SEPTAL,CORNETAL HYPERTROPHY AND SEPTAL DEVIATION
HIPERTROFIA DE CORNETES,CORNETAL HYPERTROPHY
PARIDAD SATISFECHA,SATISFIED PARITY
HENIA INGUNAL,HENIA INGUNAL
LESION DE MENISCOP,MENISCOP INJURY
HERNIA INGUINAL Y UMBILICAL,INGUINAL AND UMBILICAL HERNIA
ENDOMETRIOSIS ADHERENCIAS,ENDOMETRIOSIS ADHERENCES
PAPILOMA EN CUERDA VOCAL,VOCAL CORD PAPILLOMA
FRACTURA HUESOS PROPIOS DE NARIZ,NOSE BONES FRACTURE
SD METICO EN ESTUDIO,SD METICO IN STUDY
CARCINOMA BASOCELULAR,BASEL CELL CARCINOMA
DOLOR PELVICO CRONICO,CHRONIC PELVIC PAIN
DOLOR ABDOMINAL EN ESTUDIO,ABDOMINAL PAIN IN STUDY
NEUROFIBROMATOSIS??,NEUROFIBROMATOSIS??
ESOFAGITIS EOSINOFILICA,EOSINOPHILIC ESOPHAGITIS
DLOR EN PIE Y HOMBRO,PAIN IN FOOT AND SHOULDER
"FISTULA, FISURA PERIANAL,""FISTULA, PERIANAL FISSURE"""
TUMOR OVARIO IZQUIERDO,LEFT OVARIAN TUMOR
NÓDULO EN CUERDAS VOCALES,NODULE IN VOCAL CORDS
NÓDULO PROSTATA .,PROSTATE NODULE.
TUMOR BENIGNO CEREBRAL,BENIGN BRAIN TUMOR
TRAUMA MI DERECHO,TRAUMA MY RIGHT
EMB A TÉRMINO,TERM EMB
FRACTURA RADIO IZQUIERDO,LEFT RADIUS FRACTURE
TUMOR DE COMPORTAMIENTO INCIERTO O DESCO,TUMOR OF UNCERTAIN OR UNCERTAIN BEHAVIOR
DOLOR ABDOMINAL,ABDOMINAL PAIN
COLEDOCOLITIASIS,CHOLEDOCOLITIASIS
FISTULA CONDUCTO TIROGLOSO,THYROGLOSSAL DUCT FISTULA
INESTABILIDAD CRONICA DE LA RODILLA,CHRONIC KNEE INSTABILITY
I RENAL,I KIDNEY
DONANTE RENAL,KIDNEY DONOR
FISTULA PERIANAL,PERIANAL FISTULA
ESOFAGITIS EOSINOLIFICA,EOSINOLIFIC ESOPHAGITIS
HERNIA INGUINAL IZQUIERDA,LEFT INGUINAL HERNIA
POP TUMOR RECTO,POP RECTUM TUMOR
FOCOS SEPTICOS,SEPTIC FOCUS
TUMOR PAROTIDA IZQ,LEFT PAROTIDAL TUMOR
TUMOR MAMA DERECHA,RIGHT BREAST TUMOR
"POLIPO VESICAL, CISTOCELE RECTOCELE,""BLADDER POLYP, CYSTOCELE, RECTOCELE"""
GENU VARU,GENU VARU
TUMOR RETINA,RETINAL TUMOR
DONANTE DE MEDULA OSEA,BONE MARROW DONOR
TUMOR BRAZO DERECHO,RIGHT ARM TUMOR
MASA MAMA IZQ,LEFT BREAST MASS
LIPODISTROFIA,LIPODYSTROPHY
ENDOMETRIOSIS Y ADENOMIOSIS,ENDOMETRIOSIS AND ADENOMIOSIS
PREPUCION REDUNDANTE,REDUNDANT PREPUTION
OTROS TRASTORNOS DE LOS MENISCOS,OTHER DISORDERS OF THE MENISCUS
TUMOR BENIGNO DE LA CONJUNTIVA,Benign tumor of the conjunctiva
DEFECTO POR REDUCCION LONGITUDINAL DEL F,DEFECT DUE TO LONGITUDINAL REDUCTION OF F
CATARATA OJO DERECHO,RIGHT EYE CATARACT
ORQUIEPIDIMITIS COMPLICADA,COMPLICATED ORCHEPIDYMITIS
ADENO CA DE COLON,ADENO CA DE COLON
TUMOR EN NASOFARINGE,TUMOR IN NASOPHARYNX
FIBROSIS EN ESTOMA TRAQUEAL .,FIBROSIS IN TRACHEAL STOMA.
CERVICOBRAQUIALGIA,CERVICOBRACHIALGIA
PTOSIS PLPEBRAL .,PEPLEBRAL PTOSIS.
ISTULA PERIANAL,PERIANAL ISTULA
DESPRENDIMINETO DE RETINA,RETINAL DETACHMENT
FISTULA INTESTINAL,INTESTINAL FISTULA
LESIÓN LCA,ACL INJURY
OSTEOMIELITIS DE FEMUR .,OSTEOMYELITIS OF FEMUR.
CA PROSTATA/UROPATIA OBSTRUCTIVA,PROSTATE CA/OBSTRUCTIVE UROPATHY
ADENOPATIA CERVICAL DER,DER CERVICAL ADENOPATHY
QUISTE HEPATICO,LIVER CYST
DOLOR EN RODILLA DERECHA,PAIN IN RIGHT KNEE
DOLRO EN RODILLA IZQUIERDA,PAIN IN LEFT KNEE
DEFORMIDAD EN VARO EN PIERNA DERECHA,VARUS DEFORMITY IN RIGHT LEG
HIPERTROFIA DE AMÍGDALAS,TONSIL HYPERTROPHY
PTOSIS PALPEBRAL BILATERAL,BILATERAL EYELID PTOSIS
DISPLASIA DE CADERA IZQUIERDA,LEFT HIP DYSPLASIA
DEFORMIDAD MAXILOFACIAL,MAXILLOFACIAL DEFORMITY
LESION MAMA DERECHA,RIGHT BREAST INJURY
ADENOMIOSIS Y ENDOMETRIOSIS,ADENOMIOSIS AND ENDOMETRIOSIS
LESION MENISCO RODILLA DER,RIGHT KNEE MENISCUS INJURY
FX CUPULA RADIAL,FX RADIAL DOME
FX PIE DERECHO,FX RIGHT FOOT
HEMANGIOMA INTRAMUSCULAR,INTRAMUSCULAR HEMANGIOMA
PAPNSINUSITIS CRONICA,CHRONIC PAPNSINUSITIS
JUANETILLO YDEDOS EN MARTILLO,JUANETILLO AND HAMMERFINGERS
PROLAPSO RECTAL,RECTAL PROLAPSE
TUMOR PROSTATA,PROSTATE TUMOR
POP RESEC TUMOR OVARIO,POP OVARIAN TUMOR RESEC
GASTRITIS .,GASTRITIS.
DISFAGIA,DYSPHAGIA
OMALGIA DERECHA,RIGHT OMALGIA
DOLOR ROSDILA .,KNEE PAIN.
OSTEOMIELITIS,OSTEOMYELITIS
HIPERTENSIÓN PULMONAR,PULMONARY HYPERTENSION
DOLOR PELVICO,PELVIC PAIN
SECUELAS LUXACION IFP DEDO INDICE MANO IZDA,LEFT HAND INDEX FINGER PIP LUXATION AFTERMATH
G3C1A1/CESAREA PREVIA,G3C1A1/PREVIOUS CAESAREAN SECTION
LITIASIS RENAL IZDO,LEFT KIDNEY LITHIASIS
MALFORMACION DEL URACO,URACUS MALFORMATION
TENOSINOVITIS 5 DEDO MANO IZDA,TENOSYNOVITIS 5 FINGER LEFT HAND
FRENILLO CORTO PENE,SHORT PENIS BRACE
FERTILIDAD SATISFECHA,SATISFIED FERTILITY
CA DE PRÓSTATA,PROSTATE CA
GANGLION,GANGLION
"TRASTORNO DE LA MAMA, NO ESPECIFICADO,""BREAST DISORDER, UNSPECIFIED"""
MACROCRÁNEO,MACROSKULL
CALCULO DE LA VESICULA BILIAR SIN COLECI,CALCULATION OF THE GALLBLADDER WITHOUT COLLECTION
NÓDULO TIROIDEO,THYROID NODULE
HALLUX VALGUS,HALLUX VALGUS
REFLUJO GASTRITIS,GASTRITIS REFLUX
LIPOMA EN ANO.,LIPOMA IN ANUS.
LESION PIE IZQUIERDO,LEFT FOOT INJURY
